Common/Marked Name,Scientific Name,ID Name (Use this when inputting data),Genus,Family,Order,Class,Phylum,Kingdom,General Grouping,Unknown Photo Folder Name
Chocolate Limpet,Lottia fenestrata,Fenestrate Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Fenestrate Limpet,Lottia fenestrata,Fenestrate Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Owl Limpet,Lottia gigantea,Owl Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Unstable Limpet,Lottia instabilis,Unstable Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
File Limpet,Lottia limatula,File Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Boreal Limpet,Lottia paradigitalis,Digitalis,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Shield Limpet,Lottia pelta,Shield Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Rough Limpet,Lottia scabra,Scabra,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Plate Limpet,Lottia scutum,Plate Limpet,Lottia,Lottiidae,,Gastropoda,Mollusca,Animalia,Animalia,
Hairy Chiton,Mopalia ciliata,Mopalia ciliata,Mopalia,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Animalia,
Mossy Chiton,Mopalia muscosa,Mossy Chiton,Mopalia,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Animalia,
California Spiny Chiton,Nuttallina californica,California Spiny Chiton,Nuttallina,Tonicellidae,Chitonida,Polyplacophora,Mollusca,Animalia,Animalia,
Orange Sponge,,Microcionidae,,Microcionidae,Poecilosclerida,Demospongiae,Porifera,Animalia,Animalia,
Oyster Thief,Colpomenia tuberculata,Colpomenia,Colpomenia,Scytosiphonaceae,Ectocarpales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Rockweed,Fucus distichus,Fucus,Fucus,Fucaceae,Fucales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Golden Rockweed,Silvetia compressa,Slender Rockweed,Silvetia,Fucaceae,Fucales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Slender Rockweed,Silvetia compressa,Slender Rockweed,Silvetia,Fucaceae,Fucales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Laminaria,Laminaria spp.,Laminaria,Laminaria,Laminariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Feather Boa Kelp,Egregia menziesii,Feather Boa Kelp,Egregia,Lessoniaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,Brown Algae,
Green Pin-Cushion Algae,Cladophora columbiana,Cladophora,Cladophora,Cladophoraceae,Cladophorales,Ulvophyceae,Chlorophyta,Plantae,Green Algae/Seagrasses,
Sea Lettuce,Ulva spp.,Ulva,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Green Algae/Seagrasses,
Unknown Green Algae,,Green Algae,,,,,Chlorophyta,Plantae,Green Algae/Seagrasses,
Surfgrass,Phyllospadix spp.,Surfgrass,Phyllospadix,Zosteraceae,Alismatales,Liliopsida,Tracheophyta,Plantae,Green Algae/Seagrasses,
Nori,Pyropia spp.,Nori,Pyropia,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,Plantae,Red Algae,
